Benchmark,Language,Energy (Joules),Time (Seconds),Input
Sorting-bead,JS,79.923,6.618,Medium
Sorting-bead,JS,71.805,6.501,Medium
Sorting-bead,JS,77.569,6.692,Medium
Sorting-bead,JS,72.339,6.29,Medium
Sorting-bead,JS,68.258,6.169,Medium
Sorting-bead,JS,73.562,6.583,Medium
Sorting-bead,C,88.272,18.477,Large
Sorting-bead,C,86.469,18.649,Large
Sorting-bead,C,88.946,18.198,Large
Sorting-bead,C,89.063,18.373,Large
Sorting-bead,C,90.933,18.265,Large
Sorting-bead,C,88.327,18.513,Large
Sorting-bead,C,94.511,17.898,Large
Sorting-bead,C,89.327,18.283,Large
Sorting-bead,C,88.016,17.708,Large
Sorting-bead,C,90.457,18.068,Large
Sorting-bead,C,87.039,17.985,Large
Sorting-bead,C,93.421,17.835,Large
Sorting-bead,C,90.046,17.803,Large
Sorting-bead,C,94.936,17.95,Large
Sorting-bead,C,91.372,18.287,Large
Sorting-bead,C,91.604,18.083,Large
Sorting-bead,C,96.205,17.888,Large
Sorting-bead,C,93.253,18.318,Large
Sorting-bead,C,94.918,17.954,Large
Sorting-bead,C,94.808,18.156,Large
Sorting-bead,WASM,133.959,17.816,Large
Sorting-bead,WASM,136.473,17.759,Large
Sorting-bead,WASM,117.453,17.214,Large
Sorting-bead,WASM,131.274,17.856,Large
Sorting-bead,WASM,130.105,17.746,Large
Sorting-bead,WASM,123.503,17.709,Large
Sorting-bead,WASM,129.187,17.886,Large
Sorting-bead,WASM,135.119,18.059,Large
Sorting-bead,WASM,129.161,17.823,Large
Sorting-bead,WASM,128.231,17.71,Large
Sorting-bead,WASM,130.577,17.937,Large
Sorting-bead,WASM,132.575,17.879,Large
Sorting-bead,WASM,132.56,17.753,Large
Sorting-bead,WASM,130.43,18.118,Large
Sorting-bead,WASM,132.5,17.961,Large
Sorting-bead,WASM,131.601,17.743,Large
Sorting-bead,WASM,124.938,17.704,Large
Sorting-bead,WASM,123.241,17.508,Large
Sorting-bead,WASM,135.596,18.063,Large
Sorting-bead,WASM,125.814,17.647,Large
Sorting-bead,JS,139.096,18.011,Large
Sorting-bead,JS,138.601,17.713,Large
Sorting-bead,JS,120.856,17.117,Large
Sorting-bead,JS,129.963,17.537,Large
Sorting-bead,JS,143.175,17.899,Large
Sorting-bead,JS,120.698,17.238,Large
Sorting-bead,JS,124.232,17.323,Large
Sorting-bead,JS,142.721,18.055,Large
Sorting-bead,JS,130.223,17.401,Large
Sorting-bead,JS,124.467,17.298,Large
Sorting-bead,JS,141.367,18.072,Large
Sorting-bead,JS,131.808,17.742,Large
Sorting-bead,JS,127.743,17.551,Large
Sorting-bead,JS,151.756,18.319,Large
Sorting-bead,JS,142.142,18.337,Large
Sorting-bead,JS,122.409,17.417,Large
Sorting-bead,JS,124.742,17.348,Large
Sorting-bead,JS,136.258,17.842,Large
Sorting-bead,JS,127.648,17.648,Large
Sorting-bead,JS,133.634,17.637,Large
Fasta,C,368.129,24.239,Small
Fasta,C,352.738,23.005,Small
Fasta,C,356.249,23.031,Small
Fasta,C,359.897,23.153,Small
Fasta,C,358.203,22.963,Small
Fasta,C,361.181,23.122,Small
Fasta,C,359.853,22.966,Small
Fasta,C,362.195,23.197,Small
Fasta,C,361.496,22.982,Small
Fasta,C,361.379,23.038,Small
Fasta,C,365.672,23.507,Small
Fasta,C,362.823,23.124,Small
Fasta,C,360.12,23.035,Small
Fasta,C,359.315,23.102,Small
Fasta,C,373.541,24.346,Small
Fasta,C,364.438,23.127,Small
Fasta,C,368.893,23.372,Small
Fasta,C,361.997,23.079,Small
Fasta,C,362.793,23.044,Small
Fasta,C,360.881,23.461,Small
Fasta,WASM,802.937,42.747,Small
Fasta,WASM,725.839,46.041,Small
Fasta,WASM,728.991,46.195,Small
Fasta,WASM,748.447,47.598,Small
Fasta,WASM,774.609,49.281,Small
Fasta,WASM,736.616,46.761,Small
Fasta,WASM,719.705,45.642,Small
Fasta,WASM,728.541,46.232,Small
Fasta,WASM,711.466,45.015,Small
Fasta,WASM,730.632,46.43,Small
Fasta,WASM,734.185,46.57,Small
Fasta,WASM,714.548,45.285,Small
Fasta,WASM,742.483,47.295,Small
Fasta,WASM,740.18,47.092,Small
Fasta,WASM,743.341,47.227,Small
Fasta,WASM,729.673,46.411,Small
Fasta,WASM,728.82,46.227,Small
Fasta,WASM,732.065,46.436,Small
Fasta,WASM,740.948,47.116,Small
Fasta,WASM,715.521,45.486,Small
Fasta,JS,803.015,42.917,Small
Fasta,JS,724.412,45.942,Small
Fasta,JS,745.198,47.317,Small
Fasta,JS,722.79,45.788,Small
Fasta,JS,730.678,46.417,Small
Fasta,JS,720.336,45.577,Small
Fasta,JS,735.652,46.901,Small
Fasta,JS,730.984,46.38,Small
Fasta,JS,734.016,46.657,Small
Fasta,JS,725.446,45.962,Small
Fasta,JS,706.66,44.873,Small
Fasta,JS,725.69,45.933,Small
Fasta,JS,714.557,45.363,Small
Fasta,JS,726.77,46.054,Small
Fasta,JS,716.909,45.571,Small
Fasta,JS,724.649,45.794,Small
Fasta,JS,726.631,46.015,Small
Fasta,JS,714.799,45.45,Small
Fasta,JS,718.361,45.642,Small
Fasta,JS,730.504,46.484,Small
Fasta,C,672.206,44.659,Medium
Fasta,C,688.889,44.704,Medium
Fasta,C,686.096,44.632,Medium
Fasta,C,683.817,44.637,Medium
Fasta,C,683.977,44.693,Medium
Fasta,C,684.249,44.597,Medium
Fasta,C,676.92,44.103,Medium
Fasta,C,677.494,44.135,Medium
Fasta,C,674.869,44.046,Medium
Fasta,C,676.318,44.133,Medium
Fasta,C,679.559,44.26,Medium
Fasta,C,666.619,43.824,Medium
Fasta,C,675.953,43.983,Medium
Fasta,C,679.067,44.594,Medium
Fasta,C,684.523,44.718,Medium
Fasta,C,685.643,44.704,Medium
Fasta,C,684.573,44.672,Medium
Fasta,C,688.598,44.806,Medium
Fasta,C,685.82,44.675,Medium
Fasta,C,685.924,44.723,Medium
Fasta,WASM,1439.774,85.153,Medium
Fasta,WASM,1404.28,91.201,Medium
Fasta,WASM,1370.964,88.978,Medium
Fasta,WASM,1370.547,89.058,Medium
Fasta,WASM,1375.387,89.349,Medium
Fasta,WASM,1356.386,88.099,Medium
Fasta,WASM,1368.869,88.846,Medium
Fasta,WASM,1299.969,84.255,Medium
Fasta,WASM,1329.144,86.039,Medium
Fasta,WASM,1359.269,88.145,Medium
Fasta,WASM,1349.625,87.471,Medium
Fasta,WASM,1398.216,90.778,Medium
Fasta,WASM,1369.753,88.967,Medium
Fasta,WASM,1364.846,88.608,Medium
Fasta,WASM,1361.495,88.297,Medium
Fasta,WASM,1343.15,87.042,Medium
Fasta,WASM,1357.16,87.965,Medium
Fasta,WASM,1354.711,87.781,Medium
Fasta,WASM,1359.32,88.095,Medium
Fasta,WASM,1370.647,89.045,Medium
Fasta,JS,1454.972,85.971,Medium
Fasta,JS,1323.192,85.821,Medium
Fasta,JS,1348.417,87.484,Medium
Fasta,JS,1368.394,88.886,Medium
Fasta,JS,1330.659,86.338,Medium
Fasta,JS,1347.414,87.42,Medium
Fasta,JS,1349.023,87.482,Medium
Fasta,JS,1379.922,89.627,Medium
Fasta,JS,1360.174,88.343,Medium
Fasta,JS,1338.125,86.79,Medium
Fasta,JS,1361.668,88.291,Medium
Fasta,JS,1350.774,87.58,Medium
Fasta,JS,1365.588,88.71,Medium
Fasta,JS,1366.617,88.724,Medium
Fasta,JS,1355.272,87.968,Medium
Fasta,JS,1356.798,88.049,Medium
Fasta,JS,1320.365,85.547,Medium
Fasta,JS,1386.749,90.036,Medium
Fasta,JS,1357.164,88.022,Medium
Fasta,JS,1366.427,88.723,Medium
Fasta,C,1370.453,89.264,Large
Fasta,C,1352.674,89.727,Large
Fasta,C,1353.707,89.754,Large
Fasta,C,1335.496,88.554,Large
Fasta,C,1336.637,88.535,Large
Fasta,C,1325.362,87.929,Large
Fasta,C,1331.225,88.154,Large
Fasta,C,1333.839,88.438,Large
Fasta,C,1333.338,88.258,Large
Fasta,C,1336.983,88.533,Large
Fasta,C,1335.788,88.507,Large
Fasta,C,1343.197,89.211,Large
Fasta,C,1348.162,89.337,Large
Fasta,C,1351.588,89.573,Large
Fasta,C,1331.746,88.315,Large
Fasta,C,1334.296,88.306,Large
Fasta,C,1333.244,88.385,Large
Fasta,C,1330.869,88.163,Large
Fasta,C,1331.754,88.259,Large
Fasta,C,1330.193,88.141,Large
Fasta,WASM,2799.846,176.839,Large
Fasta,WASM,2662.051,175.932,Large
Fasta,WASM,2618.124,172.837,Large
Fasta,WASM,2629.464,173.521,Large
Fasta,WASM,2676.097,176.726,Large
Fasta,WASM,2642.828,174.537,Large
Fasta,WASM,2730.954,180.378,Large
Fasta,WASM,2727.785,180.281,Large
Fasta,WASM,2650.065,175.171,Large
Fasta,WASM,2639.52,174.195,Large
Fasta,WASM,2643.058,174.617,Large
Fasta,WASM,2619.534,173.039,Large
Fasta,WASM,2698.254,178.389,Large
Fasta,WASM,2596.241,171.517,Large
Fasta,WASM,2585.544,170.635,Large
Fasta,WASM,2587.038,170.848,Large
Fasta,WASM,2673.694,176.522,Large
Fasta,WASM,2678.103,176.875,Large
Fasta,WASM,2686.323,177.571,Large
Fasta,WASM,2605.278,172.086,Large
Fasta,JS,2707.647,170.812,Large
Fasta,JS,2685.761,177.449,Large
Fasta,JS,2701.104,178.362,Large
Fasta,JS,2651.51,175.07,Large
Fasta,JS,2693.608,178.126,Large
Fasta,JS,2600.746,171.816,Large
Fasta,JS,2773.412,183.348,Large
Fasta,JS,2608.728,172.349,Large
Fasta,JS,2662.924,175.905,Large
Fasta,JS,2684.211,177.382,Large
Fasta,JS,2686.663,177.606,Large
Fasta,JS,2678.183,177.054,Large
Fasta,JS,2645.81,174.829,Large
Fasta,JS,2657.391,175.623,Large
Fasta,JS,2599.515,171.622,Large
Fasta,JS,2623.294,173.14,Large
Fasta,JS,2619.472,173.099,Large
Fasta,JS,2642.125,174.521,Large
Fasta,JS,2665.435,176.147,Large
Fasta,JS,2618.957,172.966,Large
Fannkuch-redux,C,1.051,0.082,Small
Fannkuch-redux,C,1.785,0.106,Small
Fannkuch-redux,C,0.784,0.055,Small
Fannkuch-redux,C,0.764,0.068,Small
Fannkuch-redux,C,0.854,0.064,Small
Fannkuch-redux,C,0.995,0.072,Small
Fannkuch-redux,C,0.727,0.072,Small
Fannkuch-redux,C,0.667,0.06,Small
Fannkuch-redux,C,0.901,0.071,Small
Fannkuch-redux,C,0.785,0.072,Small
Fannkuch-redux,C,0.741,0.069,Small
Fannkuch-redux,C,0.895,0.067,Small
Fannkuch-redux,C,0.55,0.058,Small
Fannkuch-redux,C,0.748,0.069,Small
Fannkuch-redux,C,1.074,0.071,Small
Fannkuch-redux,C,0.801,0.067,Small
Fannkuch-redux,C,0.658,0.056,Small
Fannkuch-redux,C,0.877,0.068,Small
Fannkuch-redux,C,0.88,0.08,Small
Fannkuch-redux,C,0.912,0.071,Small
Fannkuch-redux,WASM,8.561,0.64,Small
Fannkuch-redux,WASM,9.032,0.64,Small
Fannkuch-redux,WASM,8.463,0.645,Small
Fannkuch-redux,WASM,8.944,0.619,Small
Fannkuch-redux,WASM,8.493,0.624,Small
Fannkuch-redux,WASM,8.344,0.634,Small
Fannkuch-redux,WASM,8.666,0.643,Small
Fannkuch-redux,WASM,8.715,0.627,Small
Fannkuch-redux,WASM,8.962,0.624,Small
Fannkuch-redux,WASM,8.514,0.629,Small
Fannkuch-redux,WASM,8.522,0.625,Small
Fannkuch-redux,WASM,8.888,0.626,Small
Fannkuch-redux,WASM,8.362,0.633,Small
Fannkuch-redux,WASM,8.096,0.629,Small
Fannkuch-redux,WASM,8.601,0.625,Small
Fannkuch-redux,WASM,8.442,0.645,Small
Fannkuch-redux,WASM,8.388,0.623,Small
Fannkuch-redux,WASM,8.804,0.657,Small
Fannkuch-redux,WASM,8.352,0.626,Small
Fannkuch-redux,WASM,8.421,0.631,Small
Fannkuch-redux,JS,10.688,0.799,Small
Fannkuch-redux,JS,9.592,0.71,Small
Fannkuch-redux,JS,9.697,0.715,Small
Fannkuch-redux,JS,9.242,0.686,Small
Fannkuch-redux,JS,10.264,0.689,Small
Fannkuch-redux,JS,10.072,0.692,Small
Fannkuch-redux,JS,9.298,0.694,Small
Fannkuch-redux,JS,9.731,0.688,Small
Fannkuch-redux,JS,9.278,0.702,Small
Fannkuch-redux,JS,10.001,0.669,Small
Fannkuch-redux,JS,9.612,0.699,Small
Fannkuch-redux,JS,9.332,0.693,Small
Fannkuch-redux,JS,9.923,0.698,Small
Fannkuch-redux,JS,9.628,0.713,Small
Fannkuch-redux,JS,9.137,0.685,Small
Fannkuch-redux,JS,9.293,0.702,Small
Fannkuch-redux,JS,9.253,0.697,Small
Fannkuch-redux,JS,10.765,0.702,Small
Fannkuch-redux,JS,10.011,0.696,Small
Fannkuch-redux,JS,9.875,0.672,Small
Fannkuch-redux,C,183.256,5.795,Medium
Fannkuch-redux,C,184.363,5.822,Medium
Fannkuch-redux,C,186.521,5.886,Medium
Fannkuch-redux,C,178.645,6.095,Medium
Fannkuch-redux,C,157.627,6.646,Medium
Fannkuch-redux,C,158.273,6.606,Medium
Fannkuch-redux,C,158.442,6.634,Medium
Fannkuch-redux,C,160.295,6.802,Medium
Fannkuch-redux,C,158.775,6.624,Medium
Fannkuch-redux,C,158.194,6.603,Medium
Fannkuch-redux,C,158.375,6.626,Medium
Fannkuch-redux,C,158.032,6.596,Medium
Fannkuch-redux,C,158.422,6.617,Medium
Fannkuch-redux,C,158.252,6.619,Medium
Fannkuch-redux,C,158.774,6.634,Medium
Fannkuch-redux,C,158.096,6.614,Medium
Fannkuch-redux,C,158.699,6.699,Medium
Fannkuch-redux,C,158.401,6.63,Medium
Fannkuch-redux,C,159.282,6.684,Medium
Fannkuch-redux,C,158.552,6.615,Medium
Fannkuch-redux,WASM,620.324,38.986,Medium
Fannkuch-redux,WASM,635.777,39.388,Medium
Fannkuch-redux,WASM,615.903,39.093,Medium
Fannkuch-redux,WASM,619.448,39.312,Medium
Fannkuch-redux,WASM,618.485,39.478,Medium
Fannkuch-redux,WASM,620.849,39.342,Medium
Fannkuch-redux,WASM,617.38,39.171,Medium
Fannkuch-redux,WASM,620.013,39.473,Medium
Fannkuch-redux,WASM,618.862,39.166,Medium
Fannkuch-redux,WASM,616.268,39.065,Medium
Fannkuch-redux,WASM,626.904,39.822,Medium
Fannkuch-redux,WASM,628.982,39.889,Medium
Fannkuch-redux,WASM,621.867,39.483,Medium
Fannkuch-redux,WASM,625.127,39.886,Medium
Fannkuch-redux,WASM,616.587,39.149,Medium
Fannkuch-redux,WASM,615.718,39.04,Medium
Fannkuch-redux,WASM,623.125,39.915,Medium
Fannkuch-redux,WASM,620.028,39.464,Medium
Fannkuch-redux,WASM,622.125,39.601,Medium
Fannkuch-redux,WASM,634.852,40.357,Medium
Fannkuch-redux,JS,722.166,44.934,Medium
Fannkuch-redux,JS,715.403,45.06,Medium
Fannkuch-redux,JS,706.584,45.109,Medium
Fannkuch-redux,JS,711.374,45.606,Medium
Fannkuch-redux,JS,710.85,45.611,Medium
Fannkuch-redux,JS,709.661,45.257,Medium
Fannkuch-redux,JS,710.78,45.262,Medium
Fannkuch-redux,JS,712.383,45.276,Medium
Fannkuch-redux,JS,708.593,45.099,Medium
Fannkuch-redux,JS,706.048,45.046,Medium
Fannkuch-redux,JS,713.601,45.592,Medium
Fannkuch-redux,JS,712.631,45.523,Medium
Fannkuch-redux,JS,710.785,45.312,Medium
Fannkuch-redux,JS,711.085,45.303,Medium
Fannkuch-redux,JS,720.593,46.328,Medium
Fannkuch-redux,JS,711.49,45.341,Medium
Fannkuch-redux,JS,717.132,45.584,Medium
Fannkuch-redux,JS,714.721,45.617,Medium
Fannkuch-redux,JS,721.619,45.983,Medium
Fannkuch-redux,JS,711.185,45.34,Medium
Fannkuch-redux,C,1662.598,92.969,Large
Fannkuch-redux,C,1504.763,96.887,Large
Fannkuch-redux,C,1509.822,97.253,Large
Fannkuch-redux,C,1502.225,96.877,Large
Fannkuch-redux,C,1504.94,96.832,Large
Fannkuch-redux,C,1499.385,96.53,Large
Fannkuch-redux,C,1505.641,96.925,Large
Fannkuch-redux,C,1501.974,96.638,Large
Fannkuch-redux,C,1504.039,96.79,Large
Fannkuch-redux,C,1497.705,96.391,Large
Fannkuch-redux,C,1495.642,96.244,Large
Fannkuch-redux,C,1500.36,96.554,Large
Fannkuch-redux,C,1496.504,96.277,Large
Fannkuch-redux,C,1509.206,97.173,Large
Fannkuch-redux,C,1505.543,96.922,Large
Fannkuch-redux,C,1505.103,96.949,Large
Fannkuch-redux,C,1506.982,97.113,Large
Fannkuch-redux,C,1500.339,96.55,Large
Fannkuch-redux,C,1513.359,97.419,Large
Fannkuch-redux,C,1497.704,96.352,Large
Fannkuch-redux,WASM,3168.752,208.471,Large
Fannkuch-redux,WASM,3150.15,209.221,Large
Fannkuch-redux,WASM,3136.679,209.452,Large
Fannkuch-redux,WASM,3136.171,208.215,Large
Fannkuch-redux,WASM,3147.549,209.206,Large
Fannkuch-redux,WASM,3150.846,209.859,Large
Fannkuch-redux,WASM,3143.508,210.635,Large
Fannkuch-redux,WASM,3154.329,210.263,Large
Fannkuch-redux,WASM,3136.43,208.609,Large
Fannkuch-redux,WASM,3135.39,208.524,Large
Fannkuch-redux,WASM,3143.959,209.4,Large
Fannkuch-redux,WASM,3158.096,210.453,Large
Fannkuch-redux,WASM,3155.804,210.18,Large
Fannkuch-redux,WASM,3149.236,209.425,Large
Fannkuch-redux,WASM,3154.639,209.047,Large
Fannkuch-redux,WASM,3154.046,209.722,Large
Fannkuch-redux,WASM,3143.785,208.804,Large
Fannkuch-redux,WASM,3141.163,208.337,Large
Fannkuch-redux,WASM,3155.804,208.874,Large
Fannkuch-redux,WASM,3146.539,210.468,Large
Fannkuch-redux,JS,3123.345,207.611,Large
Fannkuch-redux,JS,3148.454,209.566,Large
Fannkuch-redux,JS,3108.653,207.601,Large
Fannkuch-redux,JS,3103.825,206.376,Large
Fannkuch-redux,JS,3096.671,207.473,Large
Fannkuch-redux,JS,3104.171,208.438,Large
Fannkuch-redux,JS,3126.535,208.168,Large
Fannkuch-redux,JS,3117.7,207.416,Large
Fannkuch-redux,JS,3108.842,206.61,Large
Fannkuch-redux,JS,3113.572,207.586,Large
Fannkuch-redux,JS,3119.406,207.166,Large
Fannkuch-redux,JS,3125.586,208.427,Large
Fannkuch-redux,JS,3118.619,207.585,Large
Fannkuch-redux,JS,3123.507,208.089,Large
Fannkuch-redux,JS,3108.044,208.084,Large
Fannkuch-redux,JS,3119.482,207.589,Large
Fannkuch-redux,JS,3115.705,207.465,Large
Fannkuch-redux,JS,3124.956,208.894,Large
Fannkuch-redux,JS,3120.189,208.52,Large
Fannkuch-redux,JS,3122.508,208.276,Large
